date,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count,NFLX_Returns
2022-03-29,1.33,8.237,452.962,0.028,-569253000.0,0.007,3,445,1
2022-03-30,1.33,8.019,452.962,0.028,-569253000.0,-0.09,-25,279,0
2022-03-31,3.53,7.875,106.116,0.074,801681000.0,-0.094,-18,192,0
2022-04-01,3.53,7.851,106.116,0.074,801681000.0,-0.113,-25,222,0
2022-04-04,3.53,8.23,106.116,0.074,801681000.0,0.017,6,350,1
2022-04-05,3.53,7.991,106.116,0.074,801681000.0,-0.049,-13,267,0
2022-04-06,3.53,7.743,106.116,0.074,801681000.0,-0.051,-11,214,0
2022-04-07,3.53,7.613,106.116,0.074,801681000.0,-0.095,-28,296,0
2022-04-08,3.53,7.481,106.116,0.074,801681000.0,-0.122,-27,221,0
2022-04-11,3.53,7.316,106.116,0.074,801681000.0,-0.016,-4,250,0
2022-04-12,3.53,7.234,106.116,0.074,801681000.0,-0.018,-5,286,0
2022-04-13,3.53,7.367,106.116,0.074,801681000.0,-0.065,-18,277,1
2022-04-14,3.53,7.171,106.116,0.074,801681000.0,-0.07,-17,241,0
2022-04-18,3.53,7.102,106.116,0.074,801681000.0,-0.089,-59,660,0
2022-04-19,3.53,7.328,106.116,0.074,801681000.0,-0.243,-1987,8190,1
2022-04-20,3.53,4.755,106.116,0.074,801681000.0,-0.245,-3034,12404,0
2022-04-21,3.53,4.587,106.116,0.074,801681000.0,-0.23,-1106,4819,0
2022-04-22,3.53,4.531,106.116,0.074,801681000.0,-0.171,-339,1985,0
2022-04-25,3.53,4.413,106.116,0.074,801681000.0,-0.178,-214,1204,0
2022-04-26,3.53,4.171,106.116,0.074,801681000.0,-0.2,-237,1182,0
2022-04-27,3.53,3.963,106.116,0.074,801681000.0,-0.175,-230,1313,0
2022-04-28,3.53,4.194,106.116,0.074,801681000.0,-0.172,-184,1071,1
2022-04-29,3.53,4.002,106.116,0.074,801681000.0,-0.181,-155,857,0
2022-05-02,3.53,4.193,106.116,0.074,801681000.0,-0.123,-68,554,1
2022-05-03,3.53,4.202,106.116,0.074,801681000.0,-0.14,-62,442,1
2022-05-04,3.53,4.289,106.116,0.074,801681000.0,-0.188,-104,552,1
2022-05-05,3.53,3.959,106.116,0.074,801681000.0,-0.187,-107,571,0
2022-05-06,3.53,3.804,106.116,0.074,801681000.0,-0.18,-106,588,0
2022-05-09,3.53,3.639,106.116,0.074,801681000.0,-0.173,-101,583,0
2022-05-10,3.53,3.735,106.116,0.074,801681000.0,-0.146,-101,691,1
2022-05-11,3.53,3.497,106.116,0.074,801681000.0,-0.21,-155,738,0
2022-05-12,3.53,3.664,106.116,0.074,801681000.0,-0.15,-94,625,1
2022-05-13,3.53,3.945,106.116,0.074,801681000.0,-0.122,-60,493,1
2022-05-16,3.53,3.921,106.116,0.074,801681000.0,-0.077,-51,666,0
2022-05-17,3.53,4.006,106.116,0.074,801681000.0,-0.158,-91,574,1
2022-05-18,3.53,3.725,106.116,0.074,801681000.0,-0.212,-109,513,0
2022-05-19,3.53,3.857,106.116,0.074,801681000.0,-0.148,-62,418,1
2022-05-20,3.53,3.917,106.116,0.074,801681000.0,-0.147,-60,407,1
2022-05-23,3.53,3.94,106.116,0.074,801681000.0,-0.105,-38,363,1
2022-05-24,3.53,3.791,106.116,0.074,801681000.0,-0.128,-53,415,0
