date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2018-06-13,379.93,18222800,2775.6299,3820770000,351.168,329.376,81.454,11.86,10.779,-0.063,-59,936,1,-0.0040261225388478,0.048277558649119
2018-06-14,392.87,14598300,2782.49,3540930000,354.403,331.455,83.867,13.544,11.332,-0.0641,-56,874,1,0.0024715470891849,0.0315873584986865
2018-06-15,391.98,13588100,2779.6599,5451990000,357.74,333.415,82.176,14.639,11.993,-0.0129,-8,620,0,-0.0010171105736227,-0.0012482698321093
2018-06-18,390.4,6824800,2773.75,3316120000,361.052,335.446,82.15,15.204,12.635,-0.044,-12,273,0,-0.0021261234153142,-0.0019046944835582
2018-06-19,404.98,16697100,2762.5901,3671160000,364.71,337.747,84.747,16.636,13.436,-0.0251,-21,837,1,-0.0040233979269941,0.0413697094024041
2018-06-20,416.76,16494600,2767.3201,3332140000,368.966,340.121,88.85,18.509,14.45,-0.0852,-92,1080,1,0.0017121613517692,0.0273756948386598
2018-06-21,415.44,18389900,2749.76,3336580000,372.502,342.356,86.116,19.659,15.492,-0.1216,-125,1028,0,-0.0063455254056079,0.0031782348786859
2018-06-22,411.09,10428600,2754.8799,5468110000,375.592,344.393,81.064,19.99,16.392,-0.1827,-95,520,0,0.0018619443151401,-0.0123327704272141
2018-06-25,384.48,22490900,2717.0701,3663280000,377.252,345.85,59.162,17.898,16.693,-0.1201,-77,641,0,-0.0137246636414167,-0.0510056873766083
2018-06-26,399.39,15191200,2723.0601,3568900000,379.735,347.682,63.863,17.245,16.803,-0.0948,-62,654,1,0.0022045805884802,0.0365750698484734
2018-06-27,390.39,16541400,2699.6299,3803990000,381.578,348.768,62.268,15.819,16.606,-0.1361,-89,654,0,-0.0086043638919318,-0.0139300010145505
2018-06-28,395.42,12219900,2716.3101,3461100000,383.768,349.986,64.242,14.922,16.27,-0.1356,-61,450,1,0.0061786987912677,0.006705852554822
2018-06-29,391.43,9252500,2718.3701,3586800000,385.344,351.161,61.948,13.732,15.762,-0.101,-39,386,0,0.0007583817473564,-0.0108489183919369
2018-07-02,398.18,8142500,2726.71,3095040000,387.162,352.569,63.229,13.181,15.246,-0.0747,-28,375,1,0.0030679781240972,0.014176484487353
2018-07-03,390.52,5280300,2713.22,1911460000,388.398,354.006,54.362,11.988,14.594,-0.0408,-12,294,0,-0.0049473541374037,-0.0142901766275769
2018-07-05,398.39,8448900,2736.6101,2980160000,389.945,355.833,52.373,11.544,13.984,-0.0437,-16,366,1,0.0086207900575701,0.0115318269658857
2018-07-06,408.25,8629600,2759.8201,2590250000,392.288,357.883,56.493,11.852,13.558,0.0316,14,443,1,0.0084812958923159,0.0162683213169514
2018-07-09,418.97,11127500,2784.1699,3070060000,395.208,359.983,60.626,12.813,13.409,-0.0233,-11,473,1,0.008822966395527,0.0174354536902048
2018-07-10,415.63,9382900,2793.8401,3080140000,397.916,362.06,54.323,13.153,13.358,-0.0545,-22,404,0,0.0034732794144496,-0.0114452105789721
2018-07-11,418.65,9713900,2774.02,2986180000,400.658,364.184,50.826,13.511,13.388,-0.0785,-38,484,1,-0.0070942141606457,0.0143602921627147
2018-07-12,413.5,12743300,2798.29,2834230000,402.336,366.188,49.18,13.227,13.356,-0.072,-45,625,0,0.0087490356954889,-0.0210504808167117
2018-07-13,395.8,15719000,2801.3101,2619790000,402.482,367.837,44.191,11.441,12.973,-0.1416,-100,706,0,0.001079266266184,-0.0438845867014923
2018-07-16,400.48,22960000,2798.4299,2819860000,402.908,369.613,57.294,10.285,12.436,-0.1536,-382,2487,1,-0.0010281617875864,0.0128523154005222
2018-07-17,379.48,58410400,2809.55,3064920000,402.362,370.8,41.401,7.587,11.466,-0.1106,-311,2813,0,0.0039736925338027,-0.0564107680431914
2018-07-18,375.13,21746300,2815.6201,3111560000,400.869,371.778,43.134,5.04,10.181,-0.0508,-39,767,0,0.0021605239273192,-0.0136235786337597
2018-07-19,364.23,16878700,2804.49,3278360000,398.242,372.525,36.67,2.117,8.568,-0.1171,-80,683,0,-0.0039529835718959,-0.025103610142283
2018-07-20,361.05,15096700,2801.8301,3243250000,395.523,373.14,36.925,-0.451,6.764,-0.0957,-55,575,0,-0.0009484433889939,-0.007782303666438
2018-07-23,362.66,11505200,2806.98,2928490000,393.102,373.801,34.006,-2.329,4.946,-0.0446,-21,471,1,0.0018380486382809,0.002621167536764
2018-07-24,357.32,12851500,2820.3999,3430410000,391.744,374.418,34.731,-4.2,3.116,-0.1188,-57,480,0,0.0047809033195818,-0.0195054386970704
