date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2018-07-31,337.45,14085400,380.682,376.845,13.191,-10.935,-4.579,0.85,460.506,7.094,0.018,-545562000.0,1
2018-08-01,338.38,7790500,378.075,376.976,14.593,-11.969,-6.057,0.85,460.506,7.113,0.018,-545562000.0,1
2018-08-02,344.5,7131300,375.38,377.233,22.857,-12.155,-7.277,0.85,460.506,7.242,0.018,-545562000.0,1
2018-08-03,343.09,8848400,372.122,377.201,18.547,-12.274,-8.276,0.85,460.506,7.212,0.018,-545562000.0,0
2018-08-06,350.92,8198100,368.72,377.233,31.706,-11.603,-8.942,0.85,460.506,7.377,0.018,-545562000.0,1
2018-08-07,351.83,7970900,365.53,377.244,34.388,-10.873,-9.328,0.85,460.506,7.396,0.018,-545562000.0,1
2018-08-08,347.61,5394700,361.978,377.202,37.769,-10.513,-9.565,0.85,460.506,7.307,0.018,-545562000.0,0
2018-08-09,349.36,4820300,358.771,377.118,41.212,-9.972,-9.646,0.85,460.506,7.344,0.018,-545562000.0,1
2018-08-10,345.87,4328400,356.274,377.004,37.725,-9.713,-9.659,0.85,460.506,7.271,0.018,-545562000.0,0
2018-08-13,341.31,6888900,353.316,376.631,38.16,-9.763,-9.68,0.85,460.506,7.175,0.018,-545562000.0,0
2018-08-14,337.49,5805200,351.216,376.145,30.738,-9.995,-9.743,0.85,460.506,7.095,0.018,-545562000.0,0
2018-08-15,326.4,11784500,348.78,375.357,26.098,-10.948,-9.984,0.85,460.506,6.861,0.018,-545562000.0,0
2018-08-16,322.44,6689700,346.691,374.457,27.502,-11.886,-10.365,0.85,460.506,6.778,0.018,-545562000.0,0
2018-08-17,316.78,10407900,344.477,373.564,34.392,-12.937,-10.879,0.85,460.506,6.659,0.018,-545562000.0,0
2018-08-20,327.73,13591100,342.73,372.907,42.714,-12.739,-11.251,0.85,460.506,6.889,0.018,-545562000.0,1
2018-08-21,338.02,14783200,341.766,372.439,49.763,-11.618,-11.325,0.85,460.506,7.106,0.018,-545562000.0,1
2018-08-22,344.44,8930700,340.844,372.051,49.961,-10.096,-11.079,0.85,460.506,7.241,0.018,-545562000.0,1
2018-08-23,339.17,11336400,339.648,371.236,47.557,-9.208,-10.705,0.85,460.506,7.13,0.018,-545562000.0,0
